"Fecha","Abreviatura","Estado","positivos _COVID_19","Poblacion","Muertes_x_ millon","Vuelos","Ingreso_PerCapita","Gasto_Salud_PerCapita","Densidad _Poblacional","Desempleo","Partido","Sin_Salud","desempleo_2019"
"20200423","PA","    Pennsylvania ","1602","12807060","15.69447","215","59341","57","110.51640","0.060","Democrata","0.060","0.043"
"20200420","CT","    Connecticut ","2265","3572665","68.57626","33","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200415","CT","    Connecticut ","766","3572665","55.14091","37","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200430","NJ","    New Jersey ","2388","8908520","51.41146","34","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200428","NJ","    New Jersey ","2668","8908520","44.67633","28","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200421","NJ","    New Jersey ","3581","8908520","42.20679","29","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200409","NY","    New York ","10621","19542209","40.88586","106","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200416","NJ","    New Jersey ","4287","8908520","40.63526","39","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200414","NJ","    New Jersey ","4240","8908520","40.63526","45","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200411","NY","    New York ","9946","19542209","40.06712","91","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200408","NY","    New York ","10453","19542209","39.86243","161","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200414","NY","    New York ","7177","19542209","39.81126","84","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200410","NY","    New York ","10575","19542209","39.76009","106","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200415","NJ","    New Jersey ","2206","8908520","39.40048","43","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200412","NY","    New York ","8236","19542209","38.78784","94","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200415","NY","    New York ","11571","19542209","38.48081","81","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200407","NY","    New York ","8174","19542209","37.40621","161","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200429","PA","    Pennsylvania ","1102","12807060","37.40125","214","59341","57","110.51640","0.060","Democrata","0.060","0.043"
"20200429","NJ","    New Jersey ","2408","8908520","36.81869","31","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200429","MA","    Massachusetts ","1963","6902149","36.51037","124","75453","137","341.65841","0.029","Republicano","0.030","0.039"
"20200417","NJ","    New Jersey ","3150","8908520","36.14517","41","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200424","CT","    Connecticut ","821","3572665","34.98789","35","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200501","NJ","    New Jersey ","2538","8908520","34.79815","44","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200422","NJ","    New Jersey ","3478","8908520","34.79815","29","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200413","NY","    New York ","6337","19542209","34.33593","83","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200423","NJ","    New Jersey ","4124","8908520","34.23689","35","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200422","CT","    Connecticut ","2109","3572665","33.86827","33","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200417","NY","    New York ","7358","19542209","32.23791","63","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200404","NY","    New York ","10841","19542209","32.23791","185","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200416","NY","    New York ","8505","19542209","31.00980","61","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200406","NY","    New York ","8658","19542209","30.65160","211","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200408","NJ","    New Jersey ","3021","8908520","30.53257","126","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200405","NY","    New York ","8327","19542209","30.39574","223","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200416","CT","    Connecticut ","1129","3572665","28.83002","32","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200409","CT","    Connecticut ","2003","3572665","28.83002","41","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200403","NY","    New York ","10482","19542209","28.75826","290","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200411","NJ","    New Jersey ","3563","8908520","28.17527","96","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200428","LA","    Louisiana ","218","4659978","28.11172","72","48401","89","41.64495","0.069","Democrata","0.080","0.041"
"20200421","PA","    Pennsylvania ","1296","12807060","28.10950","220","59341","57","110.51640","0.060","Democrata","0.060","0.043"
"20200424","NJ","    New Jersey ","2207","8908520","27.95077","39","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200414","LA","    Louisiana ","502","4659978","27.68253","83","48401","89","41.64495","0.069","Democrata","0.080","0.041"
"20200418","NY","    New York ","7090","19542209","27.63250","51","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200425","NJ","    New Jersey ","3327","8908520","27.61401","29","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200425","CT","    Connecticut ","661","3572665","27.43050","31","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200423","CT","    Connecticut ","631","3572665","26.59079","35","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200410","NJ","    New Jersey ","3561","8908520","26.04249","105","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200419","NY","    New York ","6054","19542209","25.94384","64","72080","148","160.10881","0.045","Democrata","0.060","0.03"
"20200418","NJ","    New Jersey ","2953","8908520","25.81798","31","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200421","CT","    Connecticut ","545","3572665","25.75108","35","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200407","NJ","    New Jersey ","3326","8908520","25.70573","199","71540","66","467.71741","0.038","Democrata","0.080","0.048"
"20200428","CT","    Connecticut ","1043","3572665","25.47118","32","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200415","MA","    Massachusetts ","1861","6902149","25.06466","141","75453","137","341.65841","0.029","Republicano","0.030","0.039"
"20200423","MA","    Massachusetts ","3079","6902149","24.91977","144","75453","137","341.65841","0.029","Republicano","0.030","0.039"
"20200430","CT","    Connecticut ","933","3572665","24.91138","33","79403","86","284.88561","0.037","Democrata","0.060","0.04"
"20200421","NY","    New York ","4178","19542209","24.61339","57","72080","148","160.10881","0.045","Democrata","0.060","0.03"
